document_number,title,type,action,publication_date,effective_on,comments_close_on,agencies,docket_ids,html_url,pdf_url,has_full_text
2026-13408,Presidential Determination Concerning the Department of the Air Force's Rehabilitation and Revitalization of the Joint Base Andrews Golf Course,Presidential Document,,2026-07-01,,,Executive Office of the President,,https://www.federalregister.gov/documents/2026/07/01/2026-13408/presidential-determination-concerning-the-department-of-the-air-forces-rehabilitation-and,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13408.pdf,True
2026-13365,"Airworthiness Directives; MD Helicopters, LLC Helicopters",Proposed Rule,Notice of proposed rulemaking (NPRM).,2026-07-01,,2026-08-17,Transportation Department; Federal Aviation Administration,Docket No. FAA-2026-4666; Project Identifier AD-2025-01677-R,https://www.federalregister.gov/documents/2026/07/01/2026-13365/airworthiness-directives-md-helicopters-llc-helicopters,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13365.pdf,True
2026-13364,"Schedules of Controlled Substances: Temporary Placement of 5,6- Dichloro Brorphine, 5,6-Dichloro Desmethylchlorphine, N-Propionitrile Chlorphine, and Spirochlorphine in Schedule I of the Controlled Substances Act",Proposed Rule,Proposed amendment; notice of intent.,2026-07-01,2026-07-01,,Justice Department; Drug Enforcement Administration,Docket No. DEA-1665,https://www.federalregister.gov/documents/2026/07/01/2026-13364/schedules-of-controlled-substances-temporary-placement-of-56--dichloro-brorphine-56-dichloro,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13364.pdf,True
2026-13347,Rescinding New Construction Requirements Related to Nondiscrimination in Federally Assisted Programs or Activities,Rule,Direct final rule; further delay of effective date.,2026-07-01,2026-12-28,,Energy Department,DOE-HQ-2025-0015,https://www.federalregister.gov/documents/2026/07/01/2026-13347/rescinding-new-construction-requirements-related-to-nondiscrimination-in-federally-assisted-programs,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13347.pdf,True
2026-13346,Agency Information Collection Activities; Submission for Office of Management and Budget Review; Comment Request; Medication Guides for Prescription Drug Products,Notice,Notice.,2026-07-01,,2026-07-31,Health and Human Services Department; Food and Drug Administration,Docket No. FDA-2025-N-6869,https://www.federalregister.gov/documents/2026/07/01/2026-13346/agency-information-collection-activities-submission-for-office-of-management-and-budget-review,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13346.pdf,True
2026-13345,Steel Concrete Reinforcing Bar From the Republic of T[uuml]rkiye: Final Results of Countervailing Duty Administrative Review; 2023,Notice,,2026-07-01,,,Commerce Department; International Trade Administration,C-489-819,https://www.federalregister.gov/documents/2026/07/01/2026-13345/steel-concrete-reinforcing-bar-from-the-republic-of-tuumlrkiye-final-results-of-countervailing-duty,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13345.pdf,True
2026-13343,"Antidumping or Countervailing Duty Order, Finding, or Suspended Investigation; Advance Notification of Sunset Review",Notice,,2026-07-01,,,Commerce Department; International Trade Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13343/antidumping-or-countervailing-duty-order-finding-or-suspended-investigation-advance-notification-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13343.pdf,True
2026-13342,Standard Steel Welded Wire Mesh From Mexico: Final Results of the Expedited First Sunset Review of the Countervailing Duty Order,Notice,,2026-07-01,,,Commerce Department; International Trade Administration,C-201-854,https://www.federalregister.gov/documents/2026/07/01/2026-13342/standard-steel-welded-wire-mesh-from-mexico-final-results-of-the-expedited-first-sunset-review-of,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13342.pdf,True
2026-13341,"Antidumping or Countervailing Duty Order, Finding, or Suspended Investigation; Opportunity To Request Administrative Review and Join Annual Inquiry Service List; Note Regarding Format of Review Requests",Notice,"(1) new interested parties who did not previously submit an entry of appearance must submit a new entry of appearance at this time; (2) interested parties who were included in the preceding annual inquiry service list must submit an amended entry of appearance to be included in the next year's annual inquiry service list. For these interested parties, Commerce will change the entry of appearance status from ""Active"" to ""Needs Amendment"" for the annual inquiry service lists corresponding to the above-listed proceedings. This will allow those interested parties to make any necessary amendments and resubmit their entries of appearance. If no amendments need to be made, the interested party should indicate in the area on the ACCESS form requesting an explanation for the amendment that it is resubmitting its entry of appearance for inclusion in the annual inquiry service list for the following year. As mentioned in the Final Rule,\15\ once the petitioners and foreign governments have submitted an entry of appearance for the first time, they will automatically be added to the updated annual inquiry service list each year.",2026-07-01,,,Commerce Department; International Trade Administration,,https://www.federalregister.gov/documents/2026/07/01/2026-13341/antidumping-or-countervailing-duty-order-finding-or-suspended-investigation-opportunity-to-request,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13341.pdf,True
2026-13340,Public Hearing,Notice,Notice.,2026-07-01,,2026-08-10,Susquehanna River Basin Commission,,https://www.federalregister.gov/documents/2026/07/01/2026-13340/public-hearing,https://www.govinfo.gov/content/pkg/FR-2026-07-01/pdf/2026-13340.pdf,True
